Year,Month,IOD_Index
1889,Sep,-0.912
1889,Oct,-1.139
1889,Nov,-0.87
1889,Dec,-0.41
1890,Jan,-0.105
1890,Feb,-0.066
1890,Mar,-0.198
1890,Apr,-0.202
1890,May,-0.336
1890,Jun,-0.769
1890,Jul,-0.917
1890,Aug,-0.706
1890,Sep,-1.091
1890,Oct,-1.167
1890,Nov,-0.906
1890,Dec,-0.583
1891,Jan,-0.319
1891,Feb,-0.573
1891,Mar,-0.612
1891,Apr,-0.286
1891,May,-0.325
1891,Jun,-0.1
1891,Jul,-0.302
1891,Aug,-0.006
1891,Sep,-0.068
1891,Oct,-0.117
1891,Nov,-0.13
1891,Dec,0.068
1892,Jan,-0.233
1892,Feb,-0.323
1892,Mar,-0.208
1892,Apr,-0.318
1892,May,-0.286
1892,Jun,-0.486
1892,Jul,-0.659
1892,Aug,-1.041
1892,Sep,-1.181
1892,Oct,-0.815
1892,Nov,-0.454
1892,Dec,-0.496
1893,Jan,-0.446
1893,Feb,-0.469
1893,Mar,-0.413
1893,Apr,-0.583
1893,May,-0.523
1893,Jun,-0.527
1893,Jul,-0.549
1893,Aug,-0.757
1893,Sep,-0.692
1893,Oct,-0.796
1893,Nov,-0.518
1893,Dec,-0.364
1894,Jan,-0.077
1894,Feb,-0.261
1894,Mar,-0.263
1894,Apr,-0.316
1894,May,-0.213
1894,Jun,-0.095
1894,Jul,-0.179
1894,Aug,0.125
1894,Sep,-0.329
1894,Oct,-0.326
1894,Nov,-0.276
1894,Dec,-0.251
1895,Jan,-0.183
1895,Feb,-0.057
1895,Mar,-0.108
1895,Apr,-0.177
1895,May,-0.157
1895,Jun,-0.105
1895,Jul,-0.411
1895,Aug,-0.071
1895,Sep,-0.306
1895,Oct,-0.155
1895,Nov,-0.481
1895,Dec,-0.372
1896,Jan,-0.386
1896,Feb,-0.587
1896,Mar,-0.562
1896,Apr,-0.293
1896,May,-0.217
1896,Jun,-0.156
1896,Jul,-0.1
1896,Aug,-0.132
1896,Sep,-0.012
1896,Oct,0.302
1896,Nov,0.04
1896,Dec,0.097
1897,Jan,-0.184
1897,Feb,-0.314
1897,Mar,-0.284
1897,Apr,-0.177
1897,May,-0.184
1897,Jun,-0.252
1897,Jul,-0.245
1897,Aug,-0.221
1897,Sep,-0.56
1897,Oct,-1.125
1897,Nov,-0.904
1897,Dec,-0.744
1898,Jan,-0.549
1898,Feb,-0.445
1898,Mar,-0.331
1898,Apr,-0.378
1898,May,-0.494
1898,Jun,-0.432
1898,Jul,-0.823
1898,Aug,-0.819
1898,Sep,-0.889
1898,Oct,-0.916
1898,Nov,-0.661
1898,Dec,-0.473
1899,Jan,-0.419
1899,Feb,-0.293
1899,Mar,-0.176
1899,Apr,-0.129
1899,May,-0.091
1899,Jun,-0.375
1899,Jul,-0.573
1899,Aug,-0.452
1899,Sep,-0.934
1899,Oct,-0.428
1899,Nov,-0.438
1899,Dec,-0.743
1900,Jan,-0.469
1900,Feb,-0.293
1900,Mar,-0.464
1900,Apr,-0.319
1900,May,-0.159
1900,Jun,-0.042
1900,Jul,-0.319
1900,Aug,-0.49
1900,Sep,-0.538
1900,Oct,-0.429
1900,Nov,-0.196
1900,Dec,-0.633
1901,Jan,-0.54
1901,Feb,-0.868
1901,Mar,-0.72
1901,Apr,-0.514
1901,May,-0.553
1901,Jun,-0.618
1901,Jul,-0.713
1901,Aug,-0.825
1901,Sep,-1.029
1901,Oct,-0.774
1901,Nov,-0.741
1901,Dec,-0.681
1902,Jan,-0.473
1902,Feb,-0.453
1902,Mar,-0.251
1902,Apr,0.051
1902,May,-0.042
1902,Jun,-0.09
1902,Jul,-0.07
1902,Aug,0.333
1902,Sep,0.209
1902,Oct,-0.238
1902,Nov,-0.047
1902,Dec,-0.266
1903,Jan,-0.479
1903,Feb,-0.571
1903,Mar,-0.364
1903,Apr,-0.628
1903,May,-0.267
1903,Jun,-0.335
1903,Jul,-0.614
1903,Aug,-0.452
1903,Sep,-0.69
1903,Oct,-1.036
1903,Nov,-0.628
1903,Dec,-0.441
1904,Jan,-0.219
1904,Feb,-0.234
1904,Mar,-0.219
1904,Apr,-0.029
1904,May,-0.258
1904,Jun,-0.286
1904,Jul,-0.287
1904,Aug,-0.413
1904,Sep,-0.678
1904,Oct,-0.237
1904,Nov,-0.353
1904,Dec,-0.644
1905,Jan,-0.601
1905,Feb,-0.372
1905,Mar,-0.472
1905,Apr,-0.468
1905,May,-0.205
1905,Jun,-0.447
1905,Jul,-0.275
1905,Aug,-0.22
1905,Sep,0.024
1905,Oct,-0.462
1905,Nov,-0.436
1905,Dec,-0.56
1906,Jan,-0.605
1906,Feb,-0.485
1906,Mar,-0.51
1906,Apr,-0.788
1906,May,-0.425
1906,Jun,-0.39
1906,Jul,-0.986
1906,Aug,-1.085
1906,Sep,-1.634
1906,Oct,-1.012
1906,Nov,-0.794
1906,Dec,-0.349
