date,temperature_mean_celsius,relative_humidity_mean_percent,evapotranspiration_mm_day
2010-04-06 18:30:00,30.029417,73.93769,5.7747626
2010-04-07 18:30:00,29.977333,75.24641,4.937002
2010-04-08 18:30:00,30.566916,74.42732,5.949118
2010-04-09 18:30:00,30.3565,71.44619,6.531444
2010-04-10 18:30:00,30.527328,72.6775,6.6571593
2010-04-11 18:30:00,30.941917,73.27771,6.6413436
2010-04-12 18:30:00,31.073164,73.47576,6.6216855
2010-04-13 18:30:00,31.18358,73.642426,6.561589
2010-04-14 18:30:00,30.675255,75.91267,5.1796284
2010-04-15 18:30:00,30.462748,72.080246,5.6768994
2010-04-16 18:30:00,30.573166,73.64747,5.863543
2010-04-17 18:30:00,31.069,72.12797,6.2741904
2010-04-18 18:30:00,31.385668,70.40954,6.680506
2010-04-19 18:30:00,31.741919,71.96554,6.801751
2010-04-20 18:30:00,31.76275,72.75442,6.8095593
2010-04-21 18:30:00,31.410666,73.00617,6.4452367
2010-04-22 18:30:00,30.879416,74.42571,6.0972633
2010-04-23 18:30:00,31.146082,71.655266,6.546776
2010-04-24 18:30:00,31.014837,71.96348,6.3182435
2010-04-25 18:30:00,30.86067,72.71668,6.143074
2010-04-26 18:30:00,30.927336,72.52613,6.1393914
2010-04-27 18:30:00,30.979416,71.347534,6.2731915
2010-04-28 18:30:00,30.837753,71.747536,6.145987
2010-04-29 18:30:00,29.685669,76.48131,4.6001587
2010-04-30 18:30:00,28.841919,78.71086,3.2197778
2010-05-01 18:30:00,30.569002,71.517746,5.8309784
2010-05-02 18:30:00,30.533587,71.27477,5.3972464
2010-05-03 18:30:00,30.914835,71.93716,5.3602624
2010-05-04 18:30:00,31.212753,72.29507,5.9365144
2010-05-05 18:30:00,31.664833,73.70703,6.266036
2010-05-06 18:30:00,31.531502,73.03797,6.361891
2010-05-07 18:30:00,31.275248,72.41256,6.1216817
2010-05-08 18:30:00,31.28775,70.35818,6.6048913
2010-05-09 18:30:00,31.796083,71.708115,6.532561
